Event Venue Name,Event Organizer Name,Event Name,Event Start Date,Event Start Time,Event End Date,Event Description,Timezone
The Palm House,Down by Law Promotions,Rotten Sound live in Belfast,2019-03-22,20:00:00,2019-03-23,Down by Law presents:  Rotten Sound Strangle Wire Scimitar  THVS  Friday 22th March 2019 - The Palm House Belfast Doors: 8:00pm Tickets £22 via WeGotTickets  https://www.facebook.com/events/1115481608630544/,Europe/Dublin
Róisín Dubh,Strange Brew,Therapy?,2019-03-21,20:00:00,2019-03-21,Strange Brew presents THERAPY? In association with Aiken Promotions  Thursday 21st March  8pm. €24/22 On sale Thursday at 9am  Andy  Cairns  tells  a  great  story  about  Therapy?͛s  spring  UK  tour  with  The  Stranglers.  As  the  trio  walked  onstage  in  Kilmarnock  Scotland  their  frontman  noticed  a  solitary  punter  three  rows  from  the  front  vigorously  booing  his  band  before  a  single  amplified  guitar  chord  had  been  struck.  Each  successive  song  in  the  set  received  the  same  vociferous  relentlessly  hostile  response.  Two  nights  later  at  Nottingham  Rock  City  the  antagonist  was  back  once  more  front  and  centre  still  booing  though  with  markedly  less  enmity  than  before.  In  Manchester  on  the  final  night  of  the  campaign  Cairns  stepped  from  his  tour  bus  to  be  confronted  again  by  the  by-now-familiar  face  of  his  new  nemesis.  This  time  however  the  guy  was  clutching  a  pen  and  a  copy  of  Therapy?͛s  classic  1994  album  Troublegum.  ͞Could  you  sign  this  for  me  please?͟  he  asked  politely.  ͞I  think  we͛d  battered  him  into  submission͟  Cairns  says  with  a  laugh.  It͛s  an  instructive  anecdote  both  a  testament  to  Therapy?͛s  enduring  capacity  to  win  over  hearts  and  minds  with  their  singular  sui  generis  sound  and  a  reminder  in  a  broader  sense  that  even  in  the  face  of  alienation  disaffection  and  discord  there  remains  hope  for  consensus  harmony  and  solidarity.    Which  brings  us  neatly  to  Therapy?͛s  fifteenth  studio  album  Cleave.  Roughly  themed  around  notions  of  duality  and  division  the  band͛s  follow-up  to  2015͛s  acclaimed  Disquiet  -  and  their  first  recording  for  new  label  Marshall  Records  –is  a  sharply  focused  fiercely  intelligent  impassioned  and  empowering  set  of  songs  from  a  band  operating  at  a  creative  and  artistic  peak.  A  scathing  incisive  state-of-the-nation  address  investigating  the  schisms  in  contemporary  society  and  the  motivations  of  those  seeking  to  propagate  disjuncture  it͛s  a  powerful  challenging  uncompromising  collection  from  a  band  never  afraid  to  confront  and  dissect  humanity͛s  darkest  impulses.    From  the  thrillingly  propulsive  assault  of  Wreck  It  Like  Beckett  via  the  addictive  Callow  (the  album's  first  single  out  now)  and  the  unsettling  I  Stand  Alone  to  the  disquieting  bleakly  beautiful  No  Sunshine  the  ten  tracks  which  make  up  Cleave  coalesce  to  paint  a  portrait  of  a  fractured  dislocated  world  rent  by  unprincipled  mendacious  masters.  ͞We͛re  living  in  a  time  riven  by  conflict͟  Andy  Cairns  states  baldly.  ͞You  look  at  what͛s  happening  in  the  United  States  at  present  what͛s  going  on  with  Brexit  in  the  UK  with  North  and  South  Korea  with  Palestine  and  Israel  and  it͛s  impossible  not  to  see  turmoil  and  turbulence.  Some  of  these  conflicts  have  been  going  on  as  long  as  I  can  remember  but  they  seemed  to  really  reach  a  head  again  around  the  time  we  were  writing  the  album.  Cleave  is  our  response  to  the  divisions  we  see  all  around  us.͟It͛s  worth  considering  Therapy?͛s  journey  to  this  point.  Their  story  begins  in  Northern  Ireland  in  1989  when  vocalist/guitarist  Cairns  bassist  Michael  McKeegan  and  drummer  Fyfe  Ewing  –  bonded  by  a  deep  appreciation  of  post-punk  art-rock  Detroit  techno  and  the  most  uncompromising  sounds  from  the  fringes  of  the  US  noise  rock  underground  –  embarked  upon  a  mission  to  investigate  the  psyches  of  the  marginalised  malcontent  and  misanthropic.  The  1990  release  of  a  self-financed  seven  inch  single  (Meat  Abstract)  on  the  band͛s  own  Multifuckingnational  Records  label  was  followed  by  the  recording  of  a  brace  of  bold  abrasive  mini  albums  1991's  Babyteeth  and  1992's  Pleasure  Death  for  London-based  Wiiija  record  both  collections  securing  Number  1  slots  on  the  UK͛s  Independent  music  charts.  Such  success  did  not  go  unnoticed  by  the  nation͛s  major  labels  and  the  in-demand  trio  elected  to  partner  next  with  A&M  Records  for  whom  they  promptly  delivered  a  Top  30  single  (Teethgrinder)  and  Top  40  album  (Nurse)  in  1993.  On  a  creative  roll  in  1994  Therapy?  truly  hit  their  stride  with  the  electrifying  exhilarating  punk-metal  crossover  set  Troublegum  which  served  up  no  fewer  than  five  UK  Top  40  singles  (Turn  Nowhere  Die  Laughing  Trigger  Inside  and  Screamager  the  opening  track  from  1993  EP  Shortsharpshock)  sold  one  million  copies  worldwide  and  garnered  the  fast-rising  band  a  Mercury  Music  Prize  nomination.  Unwilling  to  dilute  their  vision  in  pursuit  of  mainstream  acceptance  the  band  spent  much  of  the  two  decades  which  followed  re-writing  the  rule  book  for  what  constitutes  success  for  a  modern  rock  act  issuing  a  succession  of  fiercely  idiosyncratic  albums  aided  and  abetted  by  the  recruitment  in  2002  of  drummer  Neil  Cooper.  To  the  delight  of  their  loyal  fan-base  in  2015  the  trio  conceived  a  sequel  of  sorts  to  Troublegum  in  Disquiet  a  brilliantly-realised  bruisingly  melodic  punk/metal  collection  which  took  as  its  starting  point  questions  of  where  the  adolescent  protagonist  of  their  1994    masterpiece  might  find  himself  20  years  on.  Stepping  away  from  that  fascinating  narrative  Cleave  continues  along  a  similar  sonic  path  alluding  to  the  band͛s  ͚classic͛  sound  while  opening  up  new  paths  to  explore.  ͞The  way  I͛ve  described  Cleave  to  people  who͛ve  been  asking  is  that  it͛s  kinda  like  Nurse  and  Pleasure  Death-era  Therapy?  meets  Troublegum  but  with  a  totally  modern  21st  century  production͟  says  Cairns  of  the  10  song  collection  committed  to  tape  by  producer  Chris  Sheldon  at  Blast  studios  in  Newcastle-upon-Tyne  in  January  this  year.  ͞I  think  we͛ve  become  a  lot  more  comfortable  about  doing  what  we  do  best.  Around  the  time  of  [2009͛s]  Crooked  Timber  and  [2010͛s]  A  Brief  Crack  Of  Light  I  was  still  trying  to  prove  a  point  to  people  that  I  listen  to  a  lot  of  different  music  and  trying  to  illustrate  that  in  the  music  we  were  writing.  But  when  we  did  Disquiet  and  saw  the  reaction  we  got  from  people  who  love  guitar  music  and  love  our  band  it  made  me  realise  that  there͛s  certain  things  we  do  so  well  certain  things  that  are  so  characteristic  of  Therapy?  so  we  decided  to  focus  on  these  things.  We  never  want  to  be  a  template  band  writing  the  same  song  forever  but  we  did  definitely  try  to  play  to  our  strengths.͟Cairns  credits  producer  Sheldon  who  worked  with  the  band  on  Troublegum  1998͛s  Semi-Detached  and  2003͛s  High  Anxiety  for  keeping  the  band  fixated  upon  delivering  their  new  material  with  maximum  impact  streamlining  arrangements  and  stripping  away  extraneous  fat  setting  aside  ego  in  service  of  the  songs.  ͞We  know  we  can  trust  Chris͟  says  Cairns  simply.  ͞He  has  a  great  history  with  the  band  and  no  agenda.  It͛s  not  like  he͛s  looking  to  make  hit  singles  but  he  also  wants  the  band  to  be  at  their  maximum  ability  and  he͛s  very  good  at  pointing  out  problems  without  offending  you!  In  pre-production  we  shortened  a  lot  of  the  songs  and  got  directly  to  the  point.  You  can  get  into  your  own  little  bubble  when  you͛re  writing  songs  so  it͛s  great  to  have  someone  objective  come  in  and  challenge  you  to  re-think  things.͟The  result  is  one  of  the  most  formidable  provocative  and  impactful  albums  of  Therapy?͛s  storied  29  year  career  once  again  proving  that  the  band͛s  pre-eminence  as  one  of  the  UK͛s  most  inventive  fearless  and  individualistic  musical  artists.  Andy  Cairns  offers  a  detailed  dissection  of  the  album  in  the  track-by-track  breakdown  that  follows  but  taking  a  broader  view  of  his  band͛s  fifteenth  studio  set  he͛s  justifiably  proud  of  the  unified  drive  and  restless  creativity  evident  in  this  powerful  questing  collection.  ͞I  know  that  we  can  be  a  difficult  sell  because  we  have  no  particular  niche  and  no  desire  to  conform͟  he  admits  ͞but  Therapy?  have  always  the  kind  of  band  that  when  people  discover  us  they  immerse  themselves  deep  and  keep  us    close  to  their  hearts.  We͛ve  never  been  part  of  a  trend  so  we͛ve  never  been  cast  aside  when  fashions  changed.  Cleave  to  me  is  Therapy?  at  our  most  focused.  I  love  our  more  experimental  side  but  I  also  love  that  this  record  sounds  like  it  was  made  by  a  band  who͛re  all  reading  from  the  same  script  and  moving  forward  with  the  same  determination  and  hunger.͟  https://www.facebook.com/events/335874533866388/,Europe/Dublin
Nerve Centre,Nerve Centre,Therapy?,2019-03-20,20:00:00,2019-03-20,In association with Aiken Promotions Northern Irish rock legends Therapy? return to the Nerve Centre after 10 years for an NI exclusive show marking their 30th anniversary as a band.  The tour it's part of follows the release of the trio's 15th studio album Cleave their first recording for new label Marshall Records. Roughly themed around notions of duality and division a sharply focused fiercely intelligent impassioned and empowering set of songs from a band operating at a creative and artistic peak.  From the thrillingly propulsive assault of 'Wreck It Like Beckett' via the addictive first single 'Callow' and the unsettling 'I Stand Alone' to the disquieting bleakly beautiful 'No Sunshine' the ten tracks which make up Cleave coalesce to paint a portrait of a fractured dislocated world rent by unprincipled mendacious masters.  Therapy's story begins in Northern Ireland in 1989 when vocalist/guitarist Andy Cairns bassist Michael McKeegan and drummer Fyfe Ewing – bonded by a deep appreciation of post-punk art-rock Detroit techno and the most uncompromising sounds from the fringes of the US noise rock underground – embarked upon a mission to investigate the psyches of the marginalised malcontent and misanthropic.  After two Number 1 slots on the UK’s Independent music charts Therapy? truly hit their stride in 1994 with the electrifying exhilarating punk-metal crossover set Troublegum which served up no fewer than five UK Top 40 singles sold one million copies worldwide and garnered the fast-rising band a Mercury Music Prize nomination.  The band spent much of the two decades which followed re-writing the rule book for what constitutes success for a modern rock act issuing a succession of fiercely idiosyncratic albums aided and abetted by the recruitment in 2002 of drummer Neil Cooper.  In 2015 the trio conceived a sequel of sorts to Troublegum in Disquiet a brilliantly-realised bruisingly melodic punk/metal collection which took as its starting point questions of where the adolescent protagonist of their 1994 masterpiece might find himself 20 years on. Stepping away from that fascinating narrative Cleave continues along a similar sonic path alluding to the band’s ‘classic’ sound while opening up new paths to explore.  The result is one of the most formidable provocative and impactful albums of Therapy?’s storied three decade career once again proving that the band’s pre-eminence as one of the UK’s most inventive fearless and individualistic musical artists.  https://www.facebook.com/events/195788434701219/,Europe/Dublin
The Academy,DME Promotions,UFO 'Last Orders 50th Anniversary' Tour - Dublin - 19.3.2019,2019-03-19,19:00:00,2019-03-19,DME By Arrangement With Miracle Artists Presents  UFO 'Last Orders - 50th Anniversary Tour'  Plus Guests  The Academy Dublin 19th March 2019 7pm - 18+ €28 inc bkg fee - on sale now from www.ticketmaster.ie & outlets nationwide  www.dme-promotions.com  https://www.facebook.com/events/540888506365639/,Europe/Dublin
Dolans Pub,Bad Reputation IRL,GUN 'EM ALL - Guns N' Roses & Metallica Tribute -DolansLimerick,2019-03-16,20:00:00,2019-03-17,Bad Reputation IRL presents GUN 'EM ALL *** Abuse Your Illusion - Guns n' Roses Tribute & Whiplash - Metallica Tribute Band *** Saturday 16th March 2018 Dolans Warehouse Dolans Limerick Doors: 8pm Tickets:  €10 from www.dolans.ie & €12 on the door  ON SALE SOON  https://www.facebook.com/events/395481054325698/,Europe/Dublin
Button Factory,MPI Bands,P.O.D + Alien Ant Farm + '68 live in Dublin,2019-03-14,19:30:00,2019-03-14,MPI PRESENT : P.O.D & ALIEN ANTFARM + '68 & New Valley Wolves  Following the announcement of their new album ‘Circles’ which will be released on 16th November P.O.D. are thrilled to reveal they will be hitting the road in February – March 2019 for the ‘Full Circle’ European Tour with Alien Ant Farm and special guests ’68.  In the last few years P.O.D. have enjoyed a resurgence in popularity which has seen them perform at the Download Festival Hellfest Rock on the Range River City Rockfest Carolina Rebellion and Aftershock Festival as well as shared stages with In This Moment Prophets of Rage Shinedown and Five Finger Death Punch.  Talking about the tour Sonny Sandoval says; “We haven’t been able to tour Europe and the UK as much as we’d like so this tour with our friends Alien Ant Farm and 68 is very special to us and long overdue. We plan on destroying these shows so don’t miss it.”  San Diego’s finest will be playing songs from the new album as well as their extensive catalogue of hits and fan favourites. They will be joined hard rock heroes Alien Ant Farm and noise punk duo ’68 that features The Chariot/Norma Jean’s Josh Scogin and will call through Germany Italy Denmark Belgium The Netherlands The UK and Ireland. The three-time Grammy-nominated P.O.D have sold over 12 million records worldwide and on November 16th 2018 Mascot Records/Mascot Label Group will release ‘Circles’ P.O.D.’s debut for the label.  The album is the bands’ first since 2015’s The Awakening. On ‘Circles’ they collaborated with an L.A.-based production duo called the Heavy who ensured the album is contemporary-sounding without losing any of the band’s core sonic signifiers.  Support from Dublin's New Valley Wolves  Thursday 14th of March The Button Factory Dublin  https://www.facebook.com/events/553849411702129/,Europe/Dublin
Dolans Pub,Bad Reputation IRL,P.O.D. & Alien Ant Farm - Dolans Warehouse Limerick - 12/03/19,2019-03-12,19:30:00,2019-03-13,Bad Reputation & Dolans presents:  P.O.D. & Alien Ant Farm with special guests 68 & New Valley Wolves  Tuesday March 12th 2019 Dolans Warehouse Dolans Limerick Doors: 7.30pm Tickets: €30 (Plus Booking Fee - 18+ event) On Sale Oct 12th from  www.dolans.ie & www.ticketmaster.ie  https://www.facebook.com/events/273140489994845/,Europe/Dublin
Limelight Belfast,DME Promotions,Primordial - Belfast - 9th March 2019,2019-03-09,17:00:00,2019-03-09,DME Presents  Primordial Plus Guests The Crawling Senzar Death The Leveller  Limelight 2 Belfast Sat. 9th March 2019 5pm - 18+ £17.50 inc bkg fee - on sale Fri. 9th November 10am from www.ticketmaster.ie & usual outlets  www.dme-promotions.com  https://www.facebook.com/events/169175974034502/,Europe/Dublin
Monroe's Galway,TicketWeb,The Seattle Grunge Experience,2019-03-01,23:00:00,2019-03-02,€15   BF / Age 18 And Up  Additional Info: The Seattle Grunge Experience are the ultimate live tribute to the Grunge scene of the 90s performing the music Nirvana Pearl Jam Alice In Chains Soundgarden and more.Over 2 hours of all killer no filler Grunge tunes guaranteed at every show!The 90s was a great time for music with so many creative innovative bands breakingout from under the mainstream radar  seemingly most of them from the PacificNorthwest and conquering the world through MTV - Thats where the idea for TheSeattle Grunge Experience comes from as these bands these songs were meant to be heard back to back!The European experience of the genre was largely inspired by repeat plays on MTVwhere on any given day you could watch videos for Smells like Teen Spirit followedby Even FlowBlack Hole SunMan In The BoxHunger Strike...Come As YouAre...AliveWould? Then you had those seminal MTV Unplugged shows thatunveiled this emerging scene as truly affecting for anyone with a television.https://www.facebook.com/SeattleGrungeExperience Tickets: https://www.ticketweb.ie/event/the-seattle-grunge-experience-monroes-live-tickets/8804895?REFERRAL_ID=twfb  https://www.facebook.com/events/436961590041649/,Europe/Dublin
Róisín Dubh,Róisín Dubh,Hayseed Dixie,2019-03-01,20:00:00,2019-03-01,HAYSEED DIXIE Friday 1st March 8pm. €22.50/20 On sale Wednesday at 10am  Hayseed Dixie began one day in 2000 when John Wheeler and Mike Daly drank roughly enough whiskey to float a battleship from the Florida Coast over to Portugal and back and decided to play around in John’s studio. Having spent the previous few years touring around with assorted country hat-acts John had assembled a proper pile of recording equipment.   Thus when he and Mike discovered in their drunken epiphany that the Lost Highway of Reverend Hank Williams and the Highway to Hell of Bishop Bon Scott were indeed the same identical stretch of tarmac they were well and truly prepared to document this revelation in situ.   Now 17 years and 14 albums later with global physical sales in excess of half a million and over 1200 live shows in 31 different countries under their belts Hayseed Dixie are the undisputed creators of the musical genre Rockgrass. There are many copycats converts and disciples out there. Accept no imitations.  https://www.facebook.com/events/483462195501504/,Europe/Dublin
Button Factory,Ticketmaster Events,Hayseed Dixie,2019-02-28,19:30:00,2019-02-28,Sale Dates and Times:  Public Onsale : Wed 3 Oct 2018 at 10:00 AM  https://www.facebook.com/events/399560263911113/,Europe/Dublin
Voodoo Lounge Dublin,DME Promotions,Pestilence 'Consuming Impulse' & More - Dublin - 24.2.19,2019-02-24,19:00:00,2019-02-24,DME By Arrangement With Eternal Rock Presents  Pestilence (official) 'Reduced To Ashes' tour - playing 'Consuming Impulse' in full + more!  Plus Guests  Voodoo Lounge Dublin Sunday 24th February 2019 7pm - 18+  €25 inc bkg fee from www.ticketmaster.ie & outlets nationwide www.tickets.ie & Sound Cellar - on sale Friday 2nd November 10am  www.dme-promotions.com  https://www.facebook.com/events/606550229787760/,Europe/Dublin
On The Rox,DME Promotions,Lost Society - Dublin - 23rd Feb 2019,2019-02-23,19:00:00,2019-02-23,DME By Arrangement With K2 Presents  Lost Society Plus Guests  On The Rox Dublin Sat 23rd Feb 2019 7pm - 18+ €15 inc bkg fee - on sale 8th November 10am  www.dme-promotions.com  https://www.facebook.com/events/1920796968216736/,Europe/Dublin
An Spailpin Fanach,Pethrophile Promotions,Urban Assault 2019,2019-02-23,13:00:00,2019-02-24,Tickets on sale soon !  https://www.facebook.com/events/279758259344152/,Europe/Dublin
Voodoo Belfast,DME Promotions,Lost Society - Belfast - 22nd Feb 2019,2019-02-22,19:30:00,2019-02-22,DME By Arrangement With K2 Presents  Lost Society Plus Guests  Voodoo Belfast Fri. 22nd Feb 2019 7.30pm - 18+ £14 inc bkg fee - on sale 8th November 10  www.dme-promotions.com  https://www.facebook.com/events/344593096288935/,Europe/Dublin
Button Factory,LOR Productions,GEOFF TATE's Operation Mindcrime + special guest Skyfever,2019-02-19,18:30:00,2019-02-19,The legendary Geoff Tate (Official)'s OPERATION MINDCRIME returns to Dublin to deliver their 'Greatest Hits' show at The Button Factory on February 19th 2018. Special guest Dublin rock band SKYFEVER. Tickets on sale now via Ticketmaster.ie  https://www.facebook.com/events/270468106918871/,Europe/Dublin
Drop Dead Twice,The LEE Harveys,Punk For Palestine,2019-02-16,03:00:00,2019-02-17,Punk For Palestine Fundraiser is happening in DDT Feb 16th 2019 to raise much needed cash towards medical aid for the beleaguered people in Palestine...there will be merch and info stalls from Irish Palestinian Solidarity and guest speakers to enlighten us all on the conflict... Its an all dayer with doors opening at 3pm...first band 4pm...food will also be available upststairs...  Under 18s allowed to attend gig strictly until 8pm  As this is a fundraiser there is no Guest List!  a stellar line up that includes in no particular order... Trouble Pilgrims Paranoid Visions United Bottles The Dubtones The Lee Harveys The Blackpitts Madhouse Checkpoint Snubbed Four Men Dead        Admission is £15...  Spread the word and keep your eye on event page as this fundraiser will sell out fast...  https://www.facebook.com/events/481152585698782/,Europe/Dublin
Voodoo Lounge Dublin,DME Promotions,Decapitated & Dyscarnate & Baest - Dublin - 15.2.19,2019-02-15,18:30:00,2019-02-15,DME Presents  Decapitated Plus Guests Dyscarnate BAEST  Voodoo Lounge Dublin Friday 15 th February 2019 7pm - 18+ €20 inc bkg fee from www.ticketmaster.ie & outlets nationwide  www.dme-promotions.com  https://www.facebook.com/events/759269481072568/,Europe/Dublin
Voodoo Belfast,DME Promotions,Decapitated & Dyscarnate & Baest - Belfast - 14.2.19,2019-02-14,19:00:00,2019-02-14,DME Presents  Decapitated Plus Guests Dyscarnate BAEST  Voodoo Belfast Thursday 14th February 2019 7pm - 18+ £18 inc bkg fee from www.ticketmaster.ie & outlets nationwide  www.dme-promotions.com  https://www.facebook.com/events/2028906860733373/,Europe/Dublin
Vicar Street,Dublin Events Guide,Behemoth Concert at Vicar Street in Dublin,2019-02-10,19:30:00,2019-02-10,Get tickets for BEHEMOTH!'s upcoming concert w/ special guests At The Gates and Wolves In The Throne Room at Vicar Street in Dublin IE for 10 Feb 2019 at 7:30 PM  >>> Tickets: http://bit.ly/2RdKX5y  Buy Behemoth's music: https://amzn.to/2vg69yB Buy Behemoth's merch: http://bit.ly/2MkUghv  Find More Experience: http://bit.ly/2Ghv7SF Find More Activities: http://bit.ly/2GU34ZK Find Parking Nearby: http://bit.ly/2vytkqD Find Place to Stay: http://bit.ly/2voUBvx  Polish blackened death metal outfit Behemoth have finally announced that they’ll be making their return with the news of their eleventh studio album ‘I Love You At Your Darkest’ and now they’ve confirmed they’ll also be heading over to the UK & Ireland for some headline dates early next year. Joining them for the entirety of the run will be At The Gates and Wolves In The Throne Room.  #Behemoth #BehemothTickets #BehemothConcert #ILovedYouatYourDarkest #blackeneddeathmetal #extrememetal #AtTheGates #WolvesInTheThroneRoom  #DublinEvents  https://www.facebook.com/events/2123528051229407/,Europe/Dublin
Vicar Street,Ticketmaster Events,Behemoth,2019-02-10,19:30:00,2019-02-10,Sale Dates and Times:  Public Onsale : Mon 6 Aug 2018 at 10:00 AM  https://www.facebook.com/events/286118018789464/,Europe/Dublin
Voodoo Belfast,DME Promotions,Stone Broken - Voodoo Belfast - 10th Feb 2019,2019-02-10,18:30:00,2019-02-10,DME by arrangement with TKO presents  Stone Broken Plus Guests Baleful Creed Those Damn Crows  Voodoo Belfast Sunday 10th Feb. 2019 6.30pm - 18+ £15 inc bkg fee - on sale Fri. 21st September @ 10am  www.dme-promotions.com  https://www.facebook.com/events/487225978444530/,Europe/Dublin
Vicar Street,BEHEMOTH!,Ecclesia Diabolica Evropa 2019 | Dublin,2019-02-10,18:30:00,2019-02-10,BEHEMOTH! At The Gates Wolves In The Throne Room  We hear your cries Europe! We’re super excited to announce the continuation of the ‘Ecclesia Diabolica’ World Tour on to the hallowed grounds of Europe and Scandinavia. We bring together our Unholy Trinity completed by At The Gates and Wolves In The Throne Room to manifest a sacrilegious swarm that will consume the continent and…beyond!’ says Behemoth frontman Adam Nergal Darski about the tour announcement of the band’s ‘Ecclesia Diablica Evropa e.v. Tour 2019’.  Exclusive ticket bundles available on August 3rd 2018 on http://behemoth-store.com/ticketbundles  General ticket sale starts on August 6th 2018  https://www.facebook.com/events/376059326258186/,Europe/Dublin
The Academy,DME Promotions,God Is An Astronaut - Academy Dublin - 9.2.19,2019-02-09,19:00:00,2019-02-09,DME & WhelansLive By Arrangement With Avocado Booking Presents  God Is An Astronaut Plus Guests  The Academy Dublin Sat. 9th Feb. 2019 7pm - 18+ €25 inc bkg from www.ticketmaster.ie & outlets nationwide & Sound Cellar  www.dme-promotions.com www.whelanslive.com  Press Release  GOD IS AN ASTRONAUT UNVEIL NEW ALBUM  'Epitaph' To Be Released April 27th On Napalm Records!  1. Epitaph 2. Mortal Coil 3. Winter Dusk/Awakening 4. Seance Room 5. Komorebi 6. Medea 7. Oisín   smarturl.it/Epitaph-NPR (VINYL CD T-SHIRT PRE-ORDER)   youtu.be/6j7Blxe2NzI   Ever since forming 16 years ago Irish trio God Is An Astronaut has reigned as one of the premier instrumental groups. With its fusion of intense rock instrumentation ethereal and emotional soundscapes awe-inspiring dynamics and transfixing melodies.   Each of their prior releases has offered a breath taking sonic journey and their ninth emotive opus Epitaph is a record that both sees a progression in their sound while still remaining true to their ethos that helped define the band. The cover artwork was painted by French artist Fursy Teyssier and fits the melancholic mood beautifully. Joined by long-time drummer Lloyd Hanney contributions also come from Xenon Field on sound design and former member Jamie Dean on keys.   The opening title track ‘Epitaph’ sets the album`s mood. There is pain and loss at work here but not pain and loss that are given in to. Sparse piano motifs face energetic rhythms shimmering guitar coatings and eruptions of dense fury breathe life into a journey of melancholic longing: there is the release experienced when a troubled existence ends in ‘Mortal Coil‘ followed by the sombre foreshadowing that is ‘Winter Dusk/Awakening‘.   The album changes direction slightly with ‘Seánce Room’ and the music on this highway is taking you someplace meaningful and special – someplace where near and far blur and stars weep over tragedies.   ‘Komorebi’ is a word from Japanese. Think of the interplay between light and leaves when sunlight shines through trees.The song has a melancholic longing or nostalgia for a person place or thing that is far away from you or about to slip away.   ‘Medea’ references Greek mythology and the enchantress who married Jason leader of the Argonauts only to be later guilty of filicide a crime so against the natural order of things that you can imagine the stars in the sky weeping. It is not easy to confront such things but this record and this band don’t shirk the challenge.   Finally the beautiful and hypnotic piece of music that is the album-closing ‘Oisín’ is in memory of Torsten and Niels' 7-year-old cousin who was tragically taken from this world. It distills into four minutes all the pain sadness and longing felt by many over a much-longer timeframe. A fitting end to an album that will move you deeply and call out to you to be revisited many times.    © NAPALM RECORDS  releases April 27 2018   Written and performed by God Is An Astronaut. Produced and mixed by God Is An Astronaut.  Post Production and programming by Xenon Field - www.xenonfield.com  Mastered by Tim Young @ Metropolis Mastering.   Artwork by Fursy Teyssier - www.lesdiscrets.com   * Torsten Kinsella - Guitars Piano Synths Vox  * Niels Kinsella - Bass  * Lloyd Hanney - Drums   Additional Guitar on song 1 2 3 4 5 6 by Jimmy Scanlon.  Additional Piano/Keys on song 1 2 3 by Jamie Dean.  Additional Guitar on song 2 by Brian Harris.  https://www.facebook.com/events/278474642898998/,Europe/Dublin
Vicar Street,Dublin Events Guide,Steel Panther at Vicar Street in Dublin,2019-02-06,20:00:00,2019-02-06,Get tickets for Steel Panther's upcoming concert at Vicar Street in Dublin IE for 6 Feb 2019 at 8:00 pm  >>> Tickets: http://bit.ly/2zI8gwD  Buy Steel Panther's music: https://amzn.to/2NHFy8F  Find More Experience: http://bit.ly/2Ghv7SF Find More Activities: http://bit.ly/2GU34ZK Find Parking Nearby: http://bit.ly/2vytkqD Find Place to Stay: http://bit.ly/2voUBvx  Californian rock ‘n’ roll party animals Steel Panther have said they want to “Bring Hollywood to your neighbourhood” with the announcement of a brand new UK and Ireland tour in February. The run named the Sunset Strip Live! Tour is scheduled to go ahead in February and will see the band performing a number of 80s hit rock covers alongside their own set material.  #SteelPanther #SteelPantherTickets #SteelPantherLive #SunsetStripLIVE #comedyrock #glammetal #heavymetal #DublinEvents  https://www.facebook.com/events/271795900107487/,Europe/Dublin
Vicar Street,Ticketmaster Events,Steel Panther live at Vicar St,2019-02-06,19:30:00,2019-02-06,Steel Panther Vicar Street DUBLIN 6 February 2019 (SOLD-OUT) DUE TO DEMAND! EXTRA DATE NOW ADDED!  5th February 2019   California rock n’ roll party legends Steel Panther have announced an extra date for Vicar St Dublin on 5th February 2019 due to demand.   Steel Panther have been busy since they moved into musical gear business. The band recently announced the release of their first-ever distortion pedal for guitarists. From the genius mind of guitar icon Satchel the band is releasing the Pussy Melter. The pedal which is made in the USA has 4 knobs and a toggle switch so guitarists of all genders can customize the “Dirty” “Sizzle” “Booty” and “Load” parameters of the tone to their individual liking. The Pussy Melter effects pedal will be a limited run with pre-orders currently underway and units shipped to consumers week commencing October 1st. Each pedal will come with a certificate of authenticity and musicians all over the world can order their own pedal at: https://lnk.to/pussymelter.  ABOUT STEEL PANTHER:   For the uninitiated Steel Panther was formed in 2000 and is comprised of Michael Starr (lead singer) Satchel (guitarist) Lexxi Foxx (bass) and Stix Zadinia (drums). Hailing from Los Angeles the epicenter for rock n’ roll in all its debauchery and glamour Steel Panther has established themselves as the world’s premier party band melding hard rock with parody and criminally good looks. Steel Panther is a global phenomenon with four full-length albums touring across the world platinum-level YouTube status and high-profile television appearances such as Jimmy Kimmel Live Larry King Now FOX NFL Sunday and global magazine cover features.    Rolling Stone avowed “There’s a reason Steel Panther have transcended their origins as a cover band playing the Sunset Strip” while Metal Sucks declared “Steel Panther’s concept is genius...their songwriting is...preposterously snappy – and relatable.”   To quote the band themselves “If you’re a person who’s depressed and always bummed out and prefer it to rain go to a fuckin’ Morissey show”    Tickets priced €36.50 go on sale Thursday 11th October at 9am through www.ticketmaster.ie & usual outlets nationwide.  https://www.facebook.com/events/1094827044006159/,Europe/Dublin
Vicar Street Dublin County Dublin Ireland,Dublin Events Concerts & Parties,Steel Panther | Dublin,2019-02-06,19:00:00,2019-02-06,Steel Panther will bring their Sunset Strip Live tour to the UK and Ireland in February!  Tickets go on general sale at 10am on September 28 here: ► www.eatmytickets.com/en/artist/steel-panther  https://www.facebook.com/events/330246580869406/,Europe/Dublin
Vicar Street,Ticketmaster Events,Steel Panther,2019-02-05,20:00:00,2019-02-05,Sale Dates and Times:  Public Onsale : Thu 11 Oct 2018 at 09:00 AM  Presale : Wed 10 Oct 2018 at 09:00 AM  https://www.facebook.com/events/274366130076301/,Europe/Dublin
